Rep,Seed,TotalRequests,TotalSuitcases,Delivered,Undelivered,LateSuitcases,TotalDelay,CapacityOverflow,WarehouseOverflow,Fitness,Semaphore,IterationsRun,Improvements,ExecutionTime(ms)
1,1,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,90779
2,2,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,92412
3,3,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,95152
4,4,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,96835
5,5,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,94112
6,6,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,94850
7,7,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,95647
8,8,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,94529
9,9,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,94393
10,10,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,93651
11,11,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,93910
12,12,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,94869
13,13,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,94588
14,14,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,94344
15,15,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,94240
16,16,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,93362
17,17,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,94135
18,18,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,94125
19,19,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,94530
20,20,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,93936
21,21,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,94815
22,22,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,94094
23,23,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,94493
24,24,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,93818
25,25,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,94785
26,26,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,92976
27,27,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,94406
28,28,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,94691
29,29,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,94324
30,30,488,690,690,0,0,0.00,0,0,0.00,GREEN,11,0,96182
